,timestamp,worker_id,ppe,danger,safety_harness
0,2023-05-01 09:00:00,1,1,0,1
1,2023-05-01 09:00:05,1,1,0,1
2,2023-05-01 09:00:10,1,1,0,1
3,2023-05-01 09:00:15,1,1,0,1
4,2023-05-01 09:00:20,1,1,0,1
5,2023-05-01 09:00:25,1,1,0,1
6,2023-05-01 09:00:30,1,1,0,1
7,2023-05-01 09:00:35,1,1,0,1
8,2023-05-01 09:00:40,1,1,0,1
9,2023-05-01 09:00:45,1,1,0,1
10,2023-05-01 09:00:50,1,1,0,1
11,2023-05-01 09:00:55,1,1,0,1
12,2023-05-01 09:01:00,1,1,0,1
13,2023-05-01 09:01:05,1,1,0,1
14,2023-05-01 09:01:10,1,1,0,1
15,2023-05-01 09:01:15,1,1,0,1
16,2023-05-01 09:01:20,1,1,0,1
17,2023-05-01 09:01:25,1,1,0,1
18,2023-05-01 09:01:30,1,1,0,1
19,2023-05-01 09:01:35,1,1,0,1
20,2023-05-01 09:01:40,1,1,0,1
21,2023-05-01 09:01:45,1,1,0,1
22,2023-05-01 09:01:50,1,1,0,1
23,2023-05-01 09:01:55,1,1,0,1
24,2023-05-01 09:02:00,1,1,0,1
25,2023-05-01 09:02:05,1,1,0,1
26,2023-05-01 09:02:10,1,1,0,1
27,2023-05-01 09:02:15,1,1,0,1
28,2023-05-01 09:02:20,1,1,0,1
29,2023-05-01 09:02:25,1,1,0,1
30,2023-05-01 09:02:30,1,1,0,1
31,2023-05-01 09:02:35,1,1,0,1
32,2023-05-01 09:02:40,1,1,0,1
33,2023-05-01 09:02:45,1,1,0,1
34,2023-05-01 09:02:50,1,1,0,1
35,2023-05-01 09:02:55,1,1,0,1
36,2023-05-01 09:03:00,1,1,0,1
37,2023-05-01 09:03:05,1,1,0,1
38,2023-05-01 09:03:10,1,1,0,1
39,2023-05-01 09:03:15,1,1,0,1
40,2023-05-01 09:03:20,1,1,0,1
41,2023-05-01 09:03:25,1,1,0,1
42,2023-05-01 09:03:30,1,1,0,1
43,2023-05-01 09:03:35,1,1,0,1
44,2023-05-01 09:03:40,1,1,0,1
45,2023-05-01 09:03:45,1,1,0,1
46,2023-05-01 09:03:50,1,1,0,1
47,2023-05-01 09:03:55,1,1,0,1
48,2023-05-01 09:04:00,1,1,0,1
49,2023-05-01 09:04:05,1,1,0,1
50,2023-05-01 09:04:10,1,1,0,1
51,2023-05-01 09:04:15,1,1,0,1
52,2023-05-01 09:04:20,1,1,0,1
53,2023-05-01 09:04:25,1,1,0,1
54,2023-05-01 09:04:30,1,1,0,1
55,2023-05-01 09:04:35,1,1,0,1
56,2023-05-01 09:04:40,1,1,0,1
57,2023-05-01 09:04:45,1,1,0,1
58,2023-05-01 09:04:50,1,1,0,1
59,2023-05-01 09:04:55,1,1,0,1
60,2023-05-01 09:05:00,1,1,0,1
61,2023-05-01 09:05:05,1,1,0,1
62,2023-05-01 09:05:10,1,1,0,1
63,2023-05-01 09:05:15,1,1,0,1
64,2023-05-01 09:05:20,1,1,0,1
65,2023-05-01 09:05:25,1,1,0,1
66,2023-05-01 09:05:30,1,1,0,1
67,2023-05-01 09:05:35,1,1,0,1
68,2023-05-01 09:05:40,1,1,0,1
69,2023-05-01 09:05:45,1,1,0,1
70,2023-05-01 09:05:50,1,1,0,1
71,2023-05-01 09:05:55,1,1,0,1
72,2023-05-01 09:06:00,1,1,0,1
73,2023-05-01 09:06:05,1,1,0,1
74,2023-05-01 09:06:10,1,1,0,1
75,2023-05-01 09:06:15,1,1,0,1
76,2023-05-01 09:06:20,1,1,0,1
77,2023-05-01 09:06:25,1,1,0,1
